"no","district","landid","eligible","voters","cducsu1","cducsu2","spd1","spd2","fdp1","fdp2","dielink1","dielinke2","greens1","greens2","pirates1","pirates2","afd1","afd2","turnout","area","population","popdensity","pop18_25","pop25_35","pop35_60","pop60_75","pop75_","abitur","localbusinesstax","unemployment","socialbenefits","land","east"
1,"Flensburg - Schleswig",1,226944,162749,41.9265248941622,37.6942408248284,36.6933130157482,32.1943606412328,1.86729257937069,4.95548359744146,4.56899888785799,5.58160111582867,7.67500875581417,9.6676477274822,2.10016651407996,1.95577238569822,3.2159951827661,4.03259006199731,71.7132860970107,2128.1,286.4,134.7,8.9,11.2,35.5,18,9.3,32.1,293.1,8.6,87.1,"Schleswig-Holsten",FALSE
2,"Nordfriesland - Dithmarschen Nord",1,186177,131527,49.174694169258,42.8680042880929,31.7151611456203,29.3399834254564,2.4116721281562,6.32645768549423,3.53767667475119,4.35880085457739,6.43594090947106,8.018885856136,1.87566051076965,1.83460430177834,3.02067256152729,3.79693903152965,70.6462130123485,2777.1,232.7,84,7.9,10,35.6,18.9,10.3,22.7,489,7.5,67.7,"Schleswig-Holsten",FALSE
3,"Steinburg - Dithmarschen Süd",1,176731,126409,44.8298776194733,41.4590733254752,33.6020378295849,29.6671914183326,5.00280834434257,6.08263652113378,3.88342602188135,4.97274719363336,5.05185548497338,7.50342143360046,2.11535571043201,2.14304361240102,3.53455845707189,4.34462736039364,71.5262178112499,2000.5,222.4,111.4,7.7,9.3,37.6,18.1,9.5,23.1,320.8,6.2,73.3,"Schleswig-Holsten",FALSE
4,"Rendsburg-Eckernförde",1,198903,149583,44.6407680017114,40.3448252809477,36.3657634891665,31.1920472246178,1.84111830889874,5.43243550403455,3.27711036681976,4.30998174926295,6.88982036728773,9.16347445899601,1.842455359232,1.75153593657033,3.3987819471464,4.34541358309434,75.2039939065776,2161.8,246.5,114.2,7.4,9.1,37.8,18.5,9,24.3,243.6,5.4,57.4,"Schleswig-Holsten",FALSE
5,"Kiel",1,205243,146452,32.7240324474913,29.9709119711578,42.5197334280174,34.3197771283424,2.09556714828067,5.26315789473684,5.20443558298965,6.84388058886188,9.8564717450086,13.9253816950264,2.44107284297927,2.69439816458635,2.75858301696119,3.67287575451342,71.355417724356,143,264.8,1846.6,10.8,16,34.7,15.8,8.5,40.5,437.2,9.3,125.7,"Schleswig-Holsten",FALSE
6,"Plön - Neumünster",1,174746,127093,43.1439969156445,38.3050207328492,37.047673750718,32.3338028058194,1.82700856852856,5.28904030906502,3.70437396237401,4.71072364331631,6.27807983130463,9.10907760458877,1.70505063221421,1.69482190207171,3.80587443840337,4.64305665929674,72.7301340230964,1302,222,170.6,7.5,9.3,37.6,19.1,9.8,30.3,290.6,7.5,82.3,"Schleswig-Holsten",FALSE
7,"Pinneberg",1,235610,179055,44.9487587612745,40.2144592443663,35.7465583200693,30.9240177599062,1.84468459411913,5.50836335204267,3.90103599452682,4.97612465443579,6.32431375834241,8.53983412917819,1.80112256010723,1.88210326436011,3.77872720672419,4.73541649213929,75.9963499002589,664.3,306.3,459.3,7.3,10.2,37.8,18.2,9.3,36.5,428,5.2,59.8,"Schleswig-Holsten",FALSE
8,"Segeberg - Stormarn-Mitte",1,244240,183250,45.0046384720327,40.4698499317872,34.9238744884038,29.8450204638472,2.03110504774898,5.70204638472033,3.82155525238745,4.97244201909959,6.07967257844475,8.56480218281037,1.93506139154161,2.01145975443383,3.75388813096862,4.92987721691678,75.0286603340976,1333.5,305.5,228.3,7.2,10.5,38,18,8.4,31.5,433,4.6,51.6,"Schleswig-Holsten",FALSE
9,"Ostholstein - Stormarn-Nord",1,180022,131939,45.3110907313228,40.7044164348676,36.6449647185442,31.1765285472832,2.24497684536036,6.0906934265077,3.38717134433337,4.29213500178113,5.41538135047257,7.95064385814657,1.56132758320133,1.59998180977573,3.71156367715384,4.90453921888145,73.29048671829,1533.3,223.1,145.2,6.7,8.9,36.8,20.8,11.2,29.4,261,7,63.3,"Schleswig-Holsten",FALSE
10,"Herzogtum Lauenburg - Stormarn-Süd",1,241257,182982,44.7880119356002,40.2241750554699,34.2924440655365,29.4804953492693,2.13190368451542,5.94484703413451,3.73479358625439,4.89774950541583,6.98101452601895,9.06045403373009,1.58922735569619,1.65644708222667,4.56383688013029,5.57978380387142,75.8452604484015,1349.8,302.3,222.8,6.9,9.7,37.1,18.8,10.4,32.9,478,5.2,57.7,"Schleswig-Holsten",FALSE
