"Borough","Month.Year","FoC","MOPAC","Officer","Sergeant","Special","PCSO","Staff"
"Barnet",2013-06-01,33,1033,553.68,61.86,155,85.8,67.13
"Barnet",2013-09-01,33,1073,533.45,57.86,161,72.3,65.36
"Barnet",2013-12-01,33,1138,526.32,58.36,150,69.8,65.53
"Barnet",2014-03-01,36,1140,531.118,57.36,130,65.8,49.86
"Barnet",2014-06-01,40.3586973528177,855,546.968,56.36,106,61.47,46.8
"Barnet",2014-09-01,39.3668724020422,985,541.738,57.36,96,59.47,46.72
"Barnet",2014-12-01,41.2718855105121,1049,539.66,128.84,105,60.47,46.72
"Barnet",2015-03-01,40.1913487221963,1019,547.753,42.36,103,57.234,14.45
"Bexley",2013-06-01,28,495,344.07,37.54,85,72.25,53.39
"Bexley",2013-09-01,30,488,345.61,39.54,87,70.77,54.27
"Bexley",2013-12-01,30,646,331.87,38.49,82,51.52,51.27
"Bexley",2014-03-01,27,583,332.99,38.47,85,50.87,37.55
"Bexley",2014-06-01,26.7653762057724,547,343.46,36.55,85,50.87,38.58
"Bexley",2014-09-01,26.6350285045784,427,354.58,45.48,93,48.64,38.35
"Bexley",2014-12-01,32.8152047149993,544,365.92,66.83,94,47.64,38.35
"Bexley",2015-03-01,36.591533246714,539,375.289,38.67,87,47.64,15.01
"Brent",2013-06-01,31,985,626.81,69.5,166,61,81.88
"Brent",2013-09-01,34,943,600.65,64.23,170,54.22,82.25
"Brent",2013-12-01,40,1037,592.85,62.23,174,47.22,80.25
"Brent",2014-03-01,41,994,594.13,61.23,169,32.1,62.8
"Brent",2014-06-01,37.2524488621275,982,606.73,62.23,150,30.77,60.29
"Brent",2014-09-01,39.5154243334193,902,612.72,65.25,146,29.11,57.98
"Brent",2014-12-01,38.4773968619336,884,610.39,54.14,144,28.11,55.98
"Brent",2015-03-01,44.7957775004975,962,597.01,45.75,134,27.11,19.85
"Bromley",2013-06-01,30,739,469.01,55.88,150,91.76,32.37
"Bromley",2013-09-01,31,859,458.84,51.17,130,70.27,32.37
"Bromley",2013-12-01,31,892,460.21,48.17,114,65.41,31.76
"Bromley",2014-03-01,28,843,455.995,47.17,99,63.37,25.627
"Bromley",2014-06-01,26.3750233319804,816,466.165,49.17,83,61.37,25.7
"Bromley",2014-09-01,23.8850794851034,748,491.965,54.17,80,58.266,29.74
"Bromley",2014-12-01,25.1529591358252,845,497.055,71.75,73,57.016,30.41
"Bromley",2015-03-01,28.2549072901761,837,507.14,38.45,75,56.12,4.1
"Camden",2013-06-01,30,1235,707.47,76.26,209,63.68,69.56
"Camden",2013-09-01,29,1175,658.42,71.47,194,50.81,72
"Camden",2013-12-01,29,988,646.93,70.11,185,45.81,70.06
"Camden",2014-03-01,27,1132,668.75,64.84,167,42.81,54.66
"Camden",2014-06-01,31.4422908886837,971,684.508,65.72,153,42.57,55.66
"Camden",2014-09-01,34.0781206555371,999,669.508,68.74,146,38.57,53.66
"Camden",2014-12-01,34.194566724861,1180,664.978,65.64,158,37.57,50.66
"Camden",2015-03-01,35.5786705634569,1161,692.653,51.03,161,34.57,13
"Croydon",2013-06-01,15,1292,689.85,68.79,171,64.12,71.62
"Croydon",2013-09-01,20,1283,699.63,67.25,178,50.66,77.51
"Croydon",2013-12-01,26,1222,705.66,72.11,185,46.76,75.51
"Croydon",2014-03-01,24,1124,704.07,72.35,187,40.9,64.88
"Croydon",2014-06-01,28.6416669937044,1164,709.72,71.15,169,39.9,65.49
"Croydon",2014-09-01,34.0096622195481,1096,727.905,83.15,139,38.9,66.49
"Croydon",2014-12-01,35.9759034328325,1210,732.9374,64.5,132,39.79,64.03
"Croydon",2015-03-01,43.1525536171511,1220,741.2434,62.19,115,38.9,17.77
"Ealing",2013-06-01,37,1162,695.32,69.7,162,68.66,69.52
"Ealing",2013-09-01,34,1024,673.64,64.7,163,52.186,73.24
"Ealing",2013-12-01,34,1075,672.29,63.7,171,52.186,72.42
"Ealing",2014-03-01,36,1119,689.577,64.62,182,46.186,59.68
"Ealing",2014-06-01,35.767410336532,1029,699.653,62.62,165,43.186,57.68
"Ealing",2014-09-01,34.755903587247,1018,714.719,69.8,148,39.186,54.9
"Ealing",2014-12-01,37.6464648197871,1081,709.773,55.8,128,39.176,53.36
"Ealing",2015-03-01,40.3785776057319,1011,698.683,52,107,36.16,18.41
"Enfield",2013-06-01,34,1149,570.99,60.48,127,92.33,55.94
"Enfield",2013-09-01,34,1086,556.16,57.46,112,64.39,55.94
"Enfield",2013-12-01,33,1101,562.62,58.62,120,62.36,54.94
"Enfield",2014-03-01,26,1062,576.45,57.31,131,54.36,41.47
"Enfield",2014-06-01,27.2993239654509,948,589.09,57.31,122,50.36,41.21
"Enfield",2014-09-01,29.9967507459756,889,588.24,62.2,125,50.36,40.03
"Enfield",2014-12-01,35.2802391446091,943,583.78,51.2,128,50.33,40.03
"Enfield",2015-03-01,44.1497566118553,1046,576.835,43.86,125,45.33,8.22
"Greenwich",2013-06-01,34,771,594.16,67.4,146,55.684,52.43
"Greenwich",2013-09-01,34,867,575.02,63.4,134,43.27,55.43
"Greenwich",2013-12-01,35,780,578.51,62.085,121,39.34,54.39
"Greenwich",2014-03-01,33,791,583.932,60.085,116,37.27,48.6
"Greenwich",2014-06-01,28.6225054887087,880,584.222,59.285,103,36.01,49.6
"Greenwich",2014-09-01,30.2897257476449,831,610.3758,69.07,99,36.06,46.1
"Greenwich",2014-12-01,28.4710284121307,760,619.059,70.675,102,36.12,43.1
"Greenwich",2015-03-01,29.6491683851623,829,621.93,49.9,107,34.21,14.02
"Hackney",2013-06-01,42,1190,656.37,74.35,174,56.31,79.61
"Hackney",2013-09-01,43,1135,645.36,68.46,169,41.52,79.61
"Hackney",2013-12-01,38,982,614.17,64.66,162,39.52,75.28
"Hackney",2014-03-01,37,1035,604.1,57.66,165,39.52,61.55
"Hackney",2014-06-01,41.1781514039062,1037,611.15,56.66,160,38.27,63.79
"Hackney",2014-09-01,37.1973062660269,997,605.79,70.75,144,37.51,61.79
"Hackney",2014-12-01,36.2690569801901,1007,608.4,51.78,123,37.45,63.79
"Hackney",2015-03-01,34.736127374529,1177,604.74,46.75,103,36.45,19.9
"Haringey",2013-06-01,42,1209,679.69,68.4325,144,57.33,68.34
"Haringey",2013-09-01,39,962,633.88,64.21,137,42.91,69.87
"Haringey",2013-12-01,38,1125,614.96,62.74,136,38.46,69.87
"Haringey",2014-03-01,32,1178,607.66,60.76,136,33.41,56.78
"Haringey",2014-06-01,28.1565427281818,1038,617.84,59.83,127,33.41,54.78
"Haringey",2014-09-01,32.6095040334323,1133,614.41,72.82,119,31.93,53.03
"Haringey",2014-12-01,34.5527266636605,927,613.0678,85.36,96,29.93,53.14
"Haringey",2015-03-01,36.3943217543973,1146,621.9178,49.52,89,27.93,16.14
"Harrow",2013-06-01,35,536,362.16,44.05,93,62,37.91
"Harrow",2013-09-01,39,473,345.66,40.05,88,41,36.57
"Harrow",2013-12-01,37,578,342.97,38.05,88,37.67,37.66
"Harrow",2014-03-01,41,548,358.202,40.05,109,32.23,28.51
"Harrow",2014-06-01,39.4904968745851,438,368.672,43.03,106,29.23,27.51
"Harrow",2014-09-01,39.9116108083812,483,379.085,48.87,103,28.23,26.07
"Harrow",2014-12-01,42.9440940777539,505,378.965,59.8896,91,28.23,26.07
"Harrow",2015-03-01,41.8141367327312,477,379.925,37.38,79,28.23,10.5
"Havering",2013-06-01,33,626,390.13,42,95,62.11,43.25
"Havering",2013-09-01,31,661,375.68,47.07,106,48.27,43.25
"Havering",2013-12-01,34,717,373.18,48.07,113,45.27,45.3
"Havering",2014-03-01,38,641,378.86,48.1,110,40.27,42.3
"Havering",2014-06-01,36.3343475100264,546,396.8135,48.2,95,40.27,41.3
"Havering",2014-09-01,38.2761907605438,609,402.7635,50.2,93,39.27,40.56
"Havering",2014-12-01,38.4398730459179,706,408.9335,68.51,70,38.27,40.56
"Havering",2015-03-01,37.0960827956133,640,414.8465,36.23,51,36.44,13
"Hillingdon",2013-06-01,34,748,495.06,59.73,107,46,52.46
"Hillingdon",2013-09-01,31,772,468.77,56.3,114,34.98,56.3
"Hillingdon",2013-12-01,31,852,465.43,54.3,115,31.98,54.3
"Hillingdon",2014-03-01,30,953,491.46,53.71,114,29.89,42.58
"Hillingdon",2014-06-01,26.7482111929239,914,502.26,55.71,93,28.044,38.58
"Hillingdon",2014-09-01,31.2993752704296,834,520.03,60.71,92,27.574,39.58
"Hillingdon",2014-12-01,30.5472223032012,888,523.985,54.23,102,27.574,39.58
"Hillingdon",2015-03-01,30.4995834279484,898,521.11,43.01,95,25.284,13.31
"Hounslow",2013-06-01,37,684,508.02,61.481,120,64.48,57.32
"Hounslow",2013-09-01,32,827,507.39,61.75,111,58.48,59.32
"Hounslow",2013-12-01,32,748,487.47,55.56,115,42.82,55.32
"Hounslow",2014-03-01,37,723,508.7,52.56,109,35.8,43.9
"Hounslow",2014-06-01,40.1758837148217,785,523.75,52.85,92,30.4,45.38
"Hounslow",2014-09-01,45.7439525059741,698,537.28,67.16,100,29.4,45.38
"Hounslow",2014-12-01,49.0254395742058,809,548.28,49.87,112,29.29,44.38
"Hounslow",2015-03-01,44.6953374023059,817,555.7425,49.2,119,26.25,16.38
"Islington",2013-06-01,38,1090,580.99,65.25,167,63.61,53.09
"Islington",2013-09-01,36,1139,548.33,62.25,171,45.61,49.66
"Islington",2013-12-01,30,976,540.88,58.25,173,44.19,48.66
"Islington",2014-03-01,29,1153,540.23,54.25,162,37.86,40.83
"Islington",2014-06-01,29.2242725635964,947,547.0396,54.8896,135,35.87,37.75
"Islington",2014-09-01,29.7002142329738,1059,566.6646,62.8896,118,34.87,36.75
"Islington",2014-12-01,32.8533549239946,1126,558.8746,64.25,97,34.87,37.75
"Islington",2015-03-01,29.185625158304,1256,571.124,44.04,97,34.88,9.92
"Kingston.upon.Thames",2013-06-01,19,344,306.66,45.4,72,38.89,37.39
"Kingston.upon.Thames",2013-09-01,15,376,309.19,49.85,82,36.65,44.14
"Kingston.upon.Thames",2013-12-01,16,346,298.96,46.31,96,29.89,42.03
"Kingston.upon.Thames",2014-03-01,16,356,307.79,45.41,110,32.89,38.028
"Kingston.upon.Thames",2014-06-01,17.8235599842634,324,317.01,44.41,95,27.89,40.108
"Kingston.upon.Thames",2014-09-01,24.7759174434786,323,322.36,42.57,90,26.59,39.438
"Kingston.upon.Thames",2014-12-01,25.3255548070744,364,328.15,46.34,78,25.78,38.438
"Kingston.upon.Thames",2015-03-01,26.2759225044251,335,326.33,33.46,69,23.78,13.448
"Lambeth",2013-06-01,31,1545,825.98,83.54,115,101.5,92.74
"Lambeth",2013-09-01,30,1499,796.5,77.71,108,84.75,94.89
"Lambeth",2013-12-01,26,1430,779.32,76.66,111,76.98,97.42
"Lambeth",2014-03-01,25,1207,811.703,74.46,121,60.98,76.82
"Lambeth",2014-06-01,27.9873448871626,1341,812.923,73.46,131,57.23,76.03
